(('9c', '8c'), 0.47828282828282825)
(('9c', '7c'), 0.48581481481481475)
(('9c', '9d'), 0.7287138047138049)
(('9c', 'Kd'), 0.5685824915824916)
(('9c', 'As'), 0.5733838383838384)
(('9c', '7s'), 0.4917878787878788)
(('9c', '3h'), 0.4195959595959595)
(('9c', '6s'), 0.4753973063973064)
(('9c', '2d'), 0.4109696969696969)
(('9c', '3d'), 0.36996969696969684)
(('9c', '5d'), 0.43783501683501674)
(('9c', '6d'), 0.42501010101010095)
(('9c', '3c'), 0.4278282828282828)
(('9c', 'Jc'), 0.5395218855218855)
(('9c', '4h'), 0.4139393939393939)
(('9c', '5c'), 0.4521784511784511)
(('9c', 'Ts'), 0.521023569023569)
(('9c', 'Kc'), 0.6018754208754209)
(('9c', 'Qh'), 0.5338383838383839)
(('9c', '8s'), 0.4962020202020202)
(('9c', 'Kh'), 0.5606531986531986)
(('9c', 'Tc'), 0.5492491582491582)
(('9c', 'Qd'), 0.5508215488215489)
(('4d', '8d'), 0.43275084175084166)
(('4d', 'Th'), 0.4474814814814814)
(('4d', '6c'), 0.4070673400673401)
(('4d', 'Qs'), 0.4904915824915825)
(('4d', '3s'), 0.32684848484848483)
(('4d', 'Js'), 0.4602457912457912)
(('4d', 'Ac'), 0.5635656565656566)
(('4d', '7d'), 0.38288552188552183)
(('4d', '8h'), 0.41003030303030297)
(('4d', '2h'), 0.32726262626262625)
(('4d', '7h'), 0.3734848484848484)
(('4d', '9s'), 0.3943434343434343)
(('4d', 'Td'), 0.5255757575757576)
(('4d', '2s'), 0.3148080808080808)
(('4d', 'Ah'), 0.5584713804713806)
(('4d', '4c'), 0.5672222222222223)
(('4d', '5h'), 0.33584848484848484)
(('4d', 'Ks'), 0.5145858585858586)
(('4d', 'Jh'), 0.4471818181818181)
(('4d', 'Ad'), 0.5751952861952863)
(('4d', '6h'), 0.406026936026936)
(('4d', '9h'), 0.4066969696969696)
(('4d', '5s'), 0.3935387205387206)
(('4d', '4s'), 0.5648451178451178)
